Target,att1,att2,att3,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15
2574,300,20,40,1,10,23.0,45,1800,1.0,9.675,100,2700,7200
2579,230,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2580,300,20,40,1,10,21.1,52,1800,1.0,9.679,100,2700,7200
2587,300,20,20,1,10,23.0,45,1800,1.0,9.675,100,2700,7200
2622,300,20,10,1,10,23.0,45,1800,1.0,9.675,100,2700,7200
2632,190,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2643,210,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2645,200,20,40,1,10,25.7,41,1800,0.75,8.535,100,2700,7200
2655,200,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2662,200,20,40,1,10,25.7,41,1800,0.75,8.535,100,2700,7200
2675,300,20,30,1,10,23.0,45,1800,1.0,9.675,100,2700,7200
2700,150,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2741,200,20,40,1,10,25.7,41,1800,0.75,8.535,100,2700,7200
2745,140,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2749,130,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2759,300,20,40,1,10,23.0,45,1800,1.0,9.675,100,600,7200
2775,300,20,40,1,10,21.1,52,1440,1.0,9.679,100,2700,7200
2778,120,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2779,200,20,40,1,10,25.7,41,1800,0.75,8.535,100,2700,7200
2798,110,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2802,200,20,40,1,10,25.7,41,1800,0.75,8.535,100,2700,7200
2817,100,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2823,300,20,40,1,10,23.0,45,1800,1.0,9.675,100,300,7200
2889,300,20,40,1,10,22.7,53,1800,1.0,9.678,100,2700,7200
2892,300,20,40,1,10,21.1,52,1320,1.0,9.679,100,2700,7200
2902,60,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2919,50,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
2944,290,20,40,1,10,22.7,53,1800,1.0,9.678,100,2700,7200
2975,300,20,40,1,10,21.1,52,1140,1.0,9.679,100,2700,7200
2979,300,20,40,1,10,21.1,52,1200,1.0,9.679,100,2700,7200
2980,200,20,40,1,10,25.7,41,1800,0.75,8.535,100,2700,7200
3014,10,20,40,1,10,24.3,38,1800,0.75,8.536,100,2700,7200
3014,200,20,40,1,10,25.7,41,1800,0.75,8.535,100,2700,7200
3030,280,20,40,1,10,22.7,53,1800,1.0,9.678,100,2700,7200
3045,300,20,40,1,10,21.1,52,960,1.0,9.679,100,2700,7200
3084,300,20,40,1,10,21.1,52,720,1.0,9.679,100,2700,7200
3099,270,20,40,1,10,22.7,53,1800,1.0,9.678,100,2700,7200
3141,260,20,40,1,10,22.7,53,1800,1.0,9.678,100,2700,7200
3141,300,20,40,1,10,21.1,52,600,1.0,9.679,100,2700,7200
3179,300,20,40,1,10,21.1,52,660,1.0,9.679,100,2700,7200
3190,300,20,40,1,10,21.1,52,540,1.0,9.679,100,2700,7200
3201,300,20,40,1,10,21.1,52,480,1.0,9.679,100,2700,7200
3209,200,20,40,1,10,21.1,52,1800,1.0,9.679,100,2700,7200
3242,300,20,40,1,10,21.1,52,420,1.0,9.679,100,2700,7200
3296,240,20,40,1,10,22.7,53,1800,1.0,9.678,100,2700,7200
3334,200,20,40,1,10,21.1,52,1800,1.0,9.679,100,2700,7200
3351,250,20,40,1,10,22.7,53,1800,1.0,9.678,100,2700,7200
3415,200,20,40,1,10,21.1,52,1800,1.0,9.679,100,2700,7200
3421,220,20,40,1,10,22.7,53,1800,1.0,9.678,100,2700,7200
3446,210,20,40,1,10,22.7,53,1800,1.0,9.678,100,2700,7200
3583,200,20,40,1,10,22.7,53,1800,1.0,9.678,100,2700,7200
3584,200,20,40,1,10,21.1,52,1800,1.0,9.679,100,2700,7200
3597,180,20,40,1,10,22.7,53,1800,1.0,9.678,100,2700,7200
3694,200,20,40,1,10,21.1,52,1800,1.0,9.679,100,2700,7200
3713,170,20,40,1,10,22.7,53,1800,1.0,9.678,100,2700,7200
3758,200,20,40,1,10,21.1,52,1800,1.0,9.679,100,2700,7200
3773,200,20,40,1,10,21.1,52,1800,1.0,9.679,100,2700,7200
